key,0,1,2
#,,Reward,Order
int32,uint32,AOZReportReward,sbyte
0,0,"AOZReportReward#0",-1
1,10,"AOZReportReward#1",0
2,14,"AOZReportReward#1",1
3,17,"AOZReportReward#1",2
4,18,"AOZReportReward#1",3
5,19,"AOZReportReward#1",4
6,22,"AOZReportReward#1",5
7,21,"AOZReportReward#1",6
8,20,"AOZReportReward#1",7
9,23,"AOZReportReward#1",8
10,24,"AOZReportReward#1",9
11,25,"AOZReportReward#1",10
12,27,"AOZReportReward#1",11
13,28,"AOZReportReward#1",12
14,26,"AOZReportReward#1",13
15,32,"AOZReportReward#1",14
16,30,"AOZReportReward#1",15
17,29,"AOZReportReward#1",16
18,59,"AOZReportReward#2",17
19,60,"AOZReportReward#2",18
20,61,"AOZReportReward#2",19
21,66,"AOZReportReward#2",20
22,68,"AOZReportReward#2",21
23,72,"AOZReportReward#2",22
24,77,"AOZReportReward#2",23
25,79,"AOZReportReward#2",24
26,92,"AOZReportReward#4",25
27,102,"AOZReportReward#4",26
28,111,"AOZReportReward#4",27
29,36,"AOZReportReward#1",28
30,37,"AOZReportReward#1",29
31,39,"AOZReportReward#1",30
32,34,"AOZReportReward#1",31
33,31,"AOZReportReward#1",32
34,38,"AOZReportReward#1",33
35,33,"AOZReportReward#1",34
36,35,"AOZReportReward#1",35
37,41,"AOZReportReward#1",36
38,40,"AOZReportReward#1",37
39,141,"AOZReportReward#1",38
40,140,"AOZReportReward#1",39
41,171,"AOZReportReward#1",40
42,172,"AOZReportReward#1",41
43,182,"AOZReportReward#1",42
44,196,"AOZReportReward#1",43
45,219,"AOZReportReward#1",44
46,221,"AOZReportReward#1",45
47,86,"AOZReportReward#2",46
48,88,"AOZReportReward#2",47
49,90,"AOZReportReward#2",48
50,134,"AOZReportReward#2",49
51,169,"AOZReportReward#2",50
52,183,"AOZReportReward#2",51
53,223,"AOZReportReward#2",52
54,114,"AOZReportReward#3",53
55,115,"AOZReportReward#3",54
56,138,"AOZReportReward#3",55
57,139,"AOZReportReward#3",56
58,188,"AOZReportReward#3",57
59,189,"AOZReportReward#3",58
60,120,"AOZReportReward#4",59
61,168,"AOZReportReward#4",60
62,220,"AOZReportReward#4",61
63,63,"AOZReportReward#0",-1
64,64,"AOZReportReward#0",-1
65,65,"AOZReportReward#0",-1
66,67,"AOZReportReward#0",-1
67,73,"AOZReportReward#0",-1
68,78,"AOZReportReward#0",-1
69,80,"AOZReportReward#0",-1
70,97,"AOZReportReward#0",-1
71,101,"AOZReportReward#0",-1
72,110,"AOZReportReward#0",-1
73,87,"AOZReportReward#0",-1
74,89,"AOZReportReward#0",-1
75,135,"AOZReportReward#0",-1
76,170,"AOZReportReward#0",-1
77,184,"AOZReportReward#0",-1
78,224,"AOZReportReward#0",-1
79,91,"AOZReportReward#0",-1
80,119,"AOZReportReward#0",-1
81,150,"AOZReportReward#0",-1
82,193,"AOZReportReward#0",-1
83,238,"AOZReportReward#1",62
84,235,"AOZReportReward#1",63
85,240,"AOZReportReward#1",64
86,241,"AOZReportReward#1",65
87,242,"AOZReportReward#1",66
88,247,"AOZReportReward#1",67
89,262,"AOZReportReward#1",68
90,236,"AOZReportReward#1",69
91,279,"AOZReportReward#1",70
92,284,"AOZReportReward#1",71
93,285,"AOZReportReward#1",72
94,536,"AOZReportReward#1",73
95,585,"AOZReportReward#1",74
96,584,"AOZReportReward#1",75
97,611,"AOZReportReward#1",76
98,243,"AOZReportReward#2",77
99,263,"AOZReportReward#2",78
100,239,"AOZReportReward#2",79
101,537,"AOZReportReward#2",80
102,595,"AOZReportReward#2",81
103,290,"AOZReportReward#2",82
104,596,"AOZReportReward#2",83
105,637,"AOZReportReward#2",84
106,254,"AOZReportReward#3",85
107,255,"AOZReportReward#3",86
108,288,"AOZReportReward#3",87
109,289,"AOZReportReward#3",88
110,589,"AOZReportReward#3",89
111,590,"AOZReportReward#3",90
112,281,"AOZReportReward#4",91
113,550,"AOZReportReward#4",92
114,636,"AOZReportReward#4",93
115,244,"AOZReportReward#0",-1
116,264,"AOZReportReward#0",-1
117,278,"AOZReportReward#0",-1
118,538,"AOZReportReward#0",-1
119,291,"AOZReportReward#0",-1
120,597,"AOZReportReward#0",-1
121,638,"AOZReportReward#0",-1
122,259,"AOZReportReward#0",-1
123,295,"AOZReportReward#0",-1
124,594,"AOZReportReward#0",-1
